id,commtime,cso9ft2,efact9,jobconst,manconst,childlt6,c3h17m,female,jobhome,age,commtime_m,commtime_f,cso9ft2_f,cso9ft2_m,efact9_f,efact9_m,jobconst_f,jobconst_m,manconst_f,manconst_m,childlt6_f,childlt6_m,c3h17m_f,c3h17m_m,female_f,female_m,jobhome_f,jobhome_m,age_f,age_m
1077,43,-0.32623,0.80547,0,0,0,1,1,1,0,43,0,-0.32623,0,0.80547,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1081,40,0.44859,1.32672,0,0,0,1,1,1,1,40,0,0.44859,0,1.32672,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
1092,60,0.31482,-0.90508,1,0,0,1,1,1,0,60,0,0.31482,0,-0.90508,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
1093,30,-0.8851,0.3893,0,1,0,1,1,1,1,30,0,-0.8851,0,0.3893,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
1105,75,0.71637,0.01542,1,0,0,1,0,1,0,0,75,0,0.71637,0,0.01542,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1110,40,-1.13678,-0.28835,0,0,0,1,1,1,1,40,0,-1.13678,0,-0.28835,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
1124,50,-0.06483,-0.27283,0,0,1,0,0,1,0,0,50,0,-0.06483,0,-0.27283,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1130,75,-0.71139,0.53437,1,0,0,1,1,1,0,75,0,-0.71139,0,0.53437,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
1135,27,-0.86587,-0.52791,0,0,0,1,1,1,1,27,0,-0.86587,0,-0.52791,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
1158,35,0.11449,0.73938,1,1,0,0,1,0,1,35,0,0.11449,0,0.73938,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1227,53,0.28671,-0.84136,1,1,0,0,0,0,0,0,53,0,0.28671,0,-0.84136,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1228,36,-0.38888,-0.2841,1,1,0,0,1,0,1,36,0,-0.38888,0,-0.2841,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1233,20,0.24272,-0.12682,0,0,0,1,0,1,1,0,20,0,0.24272,0,-0.12682,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1243,35,0.87376,-1.82444,1,1,0,0,1,0,0,35,0,0.87376,0,-1.82444,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1247,32.5,1.04411,-0.11768,1,1,0,0,1,0,1,32.5,0,1.04411,0,-0.11768,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1248,50,-2.04785,-0.38109,1,1,0,0,0,0,1,0,50,0,-2.04785,0,-0.38109,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1249,60,-0.77681,-0.34382,1,1,0,0,0,0,1,0,60,0,-0.77681,0,-0.34382,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1276,35,0.10391,-0.42259,1,1,0,0,0,1,1,0,35,0,0.10391,0,-0.42259,0,1,0,1,0,0,0,0,0,0,0,1,0,1
